id товара из сайта,наименование,ссылка на товар,регулярная цена,промо цена,бренд
385818,"Печенье Юбилейное Ореховое с темной глазурью, 116г",https://online.metro-cc.ru/products/yubilejnoe-orehovoe-s-temnoj-glazuryu-116g-544144,63.9,48.9,ЮБИЛЕЙНОЕ
601505022,"Подарок новогодний Объединенные кондитеры чик-чирик, 1кг",https://online.metro-cc.ru/products/1kg-novogodniy-podarok-obedinennye-konditery-chik-chirik,879,,ОБЪЕДИНЕННЫЕ КОНДИТЕРЫ
496704,"Печенье Oreo с какао и начинкой со вкусом шоколада, 228г",https://online.metro-cc.ru/products/oreo-s-kakao-nachinkoj-s-vkusom-shokolada-228g,169,129,OREO
489251,"Шоколад Ritter Sport молочный карамельный мусс с миндалем, 100г",https://online.metro-cc.ru/products/art_623819,149,109,RITTER SPORT
149124,"Конфеты Рот Фронт батончики шоколадно сливочный вкус, 250г",https://online.metro-cc.ru/products/250g-batonchiki-rf-shok-sliv,130,99.9,РОТ ФРОНТ
223183,"Батончик Kinder Bueno вафельный в молочном шоколаде 43г x 3шт, 129г",https://online.metro-cc.ru/products/vafli-kinder-nbspbueno-v-molochnom-43gh3sht,227,,KINDER BUENO
149598,"Батончик Milky Way Minis шоколадный с суфле, покрытый молочным шоколадом, 176г",https://online.metro-cc.ru/products/milkyway-minis-176g,192,169,MILKY WAY
381033,"Печенье Юбилейное молочное с молочной глазурью, 116г",https://online.metro-cc.ru/products/yubilejnoe-tradicionnoe-116g-542692,63.9,48.9,ЮБИЛЕЙНОЕ
248617,"Шоколад Kinder Country молочный со злаками, 94г",https://online.metro-cc.ru/products/molochnyj-kinder-reg-chocolate-so-zlakami-s-molochno-zlakovoj-nachinkoj-94g,239,,KINDER COUNTRY
517757,"Печенье Полет Классическое овсяное, 250г",https://online.metro-cc.ru/products/ovsyanoe-sssr-klassicheskoe-250g,186,,ПОЛЕТ
145417,"Батончик Milky Way шоколадный 1+1, 52г",https://online.metro-cc.ru/products/milky-way-1-1-52g,50.9,42.9,MILKY WAY
616238,"Конфеты Красный Октябрь Мишка косолапый, 200г",https://online.metro-cc.ru/products/200g-krasnyj-oktyabr-mishka-kosolapyj,177,149,КРАСНЫЙ ОКТЯБРЬ
605807,"Шоколад Красный Октябрь Аленка много молока + кальций, 90г",https://online.metro-cc.ru/products/90g-alyonka-mnogo-moloka,79.9,64.9,АЛЕНКА
218298,"Пирожное Kinder Maxi King молочный шоколад с карамельной начинкой 36.7%, 35г",https://online.metro-cc.ru/products/kinder-maxi-king-s-molochno-karamelnoj-nachinkoj-35g,88.9,,KINDER
556456,"Шоколад Ritter Sport темный миндаль и апельсин, 100г",https://online.metro-cc.ru/products/temnyj-ritter-sport-mindal-apelsin-s-droblenym-mindalem-kusochkami-apelsinovoj-cedry-100g,149,109,RITTER SPORT
400363,"Шоколад Milka молочный с карамельной начинкой, 90г x 20 шт",https://online.metro-cc.ru/products/molochnyj-milka-s-karamelnoj-nachinkoj-90g,2180,,MILKA
497141,"Десерт Полет Лимоньерки слоеный, 500г",https://online.metro-cc.ru/products/sloenyj-desert-polet-limonyerki-500g,284,,ПОЛЕТ
470293,"Печенье Belvita Утреннее с йогуртовой начинкой, 253г",https://online.metro-cc.ru/products/belvita-utrennee-s-jogurtovoj-nachinkoj-253g,182,,BELVITA
142585,"Конфеты Рот Фронт Коровка вкус шоколад, 250г",https://online.metro-cc.ru/products/rotfront-vafelnye-so-vkusom-shokolada-korovka-250g,199,130,РОТ ФРОНТ
193465,"Пирожное Kinder Pingui бисквитное шоколад 29.3%, 30г",https://online.metro-cc.ru/products/pirozhnoe-biskvitnoe-kinder-pingui-pokrytoe-temnym-shokoladom-s-molochnoj-nachinkoj-30g,56.9,,KINDER PINGUI
248121,"Шоколад Ritter Sport темный марципан, 100г",https://online.metro-cc.ru/products/ritter-sport-temnyj-marcipan-100g,149,109,RITTER SPORT
570431,"Конфеты Кремлина шоколадные ассорти фрукты, 1кг",https://online.metro-cc.ru/products/shokoladnye-kremlina-frukty-assorti-1kg,639,539,КРЕМЛИНА
605657,"Драже Skittles Фруктовый вкус, 70г",https://online.metro-cc.ru/products/70g-drazhe-skittles-fruktovyj-vkus,80.9,59.9,SKITTLES
616289,"Шоколад Ritter Sport шоколадное печенье с орехами, 100г",https://online.metro-cc.ru/products/100g-ritter-sport-pechenye-orehi,149,109,RITTER SPORT
593750,"Шоколад Milka молочный, 85г",https://online.metro-cc.ru/products/shokolad-milka-molochnyj-85g,109,88.9,MILKA
571705555,"Конфеты Kdv Мексикана, 500г",https://online.metro-cc.ru/products/500g-konfety-kdv-meksikana,161,129,Без бренда
139408,"Шоколад Ritter Sport молочный клубника с йогуртом, 100г",https://online.metro-cc.ru/products/ritter-sport-klubnika-jogurt-100g,149,109,RITTER SPORT
574734,"Палочки Lorenz Snack-World Saltletts классические, 150г",https://online.metro-cc.ru/products/palochki-klassicheskie-saltletts-150g,83.9,54.9,SALTLETTS
3043445,"Чипсы Delicados Nachos кукурузные Оригинальные, 500г",https://online.metro-cc.ru/products/500g-chipsy-delicados-original,229,179,DELICADOS
594410,"Батончик Snickers шоколадный 40г х 4шт, 160г",https://online.metro-cc.ru/products/4h40g-batonchik-snickers-shokoladnyj-mp,154,119,SNICKERS
540936,"Шоколад Бабаевский элитный, 90г",https://online.metro-cc.ru/products/shokolad-babaevskij-elitnyj,97.9,69.9,БАБАЕВСКИЙ
601245308,"Набор подарочный Мосупак дракончик Добрыня подарок, 900г",https://online.metro-cc.ru/products/900g-pn-mosupak-podarok-drakonchik-dobrynya,1759,,МОСУПАК
85131,"Батончик Twix шоколадный карамель, 55г x 40 шт",https://online.metro-cc.ru/products/twix-55g,1876,,TWIX
478726,"Печенье Milka Choco Cow в молочным шоколаде, 200г",https://online.metro-cc.ru/products/art_616732,234,,MILKA
458416,"Батончик Mars Max шоколадный, 81г x 168 шт",https://online.metro-cc.ru/products/art_598877,10735.2,,MARS
414003,"Конфеты Вдохновение с дробленым фундуком, 400г",https://online.metro-cc.ru/products/art_568563,609,399,ВДОХНОВЕНИЕ
252210,"Конфеты Рот Фронт микс Трюфели, Осенний вальс, Грильяж в шоколаде, 700г",https://online.metro-cc.ru/products/rotfront-shokoladnye-miks-tryufeli-osennij-vals-grilyazh-v-shokolade-700g,969,,РОТ ФРОНТ
230719,"Шоколад Merci молочный, 100г",https://online.metro-cc.ru/products/merci-molochnyj-100g,189,149,MERCI
93269,"Леденцы Bon Pari ассорти, 1кг",https://online.metro-cc.ru/products/karamel-bon-pari-assorti-1-kg,409,369,BON PARI
571718263,"Батончик Twix Xtra шоколадный соленая карамель, 82г",https://online.metro-cc.ru/products/82g-shokoladnyy-batonchik-twix-xtra-solenaya-karamel,73.9,59.9,TWIX
619102,"Драже M&M's криспи, 70г",https://online.metro-cc.ru/products/70g-drazhe-m-m-039s-krispi,117,89.9,M&M'S
125684,"Набор подарочный Kinder Mini Mix, 106г",https://online.metro-cc.ru/products/kinder-mini-mix-nbsp106g,389,,KINDER
601505002,"Набор новогодний Weiss Lebkuchen Eisenbahn Пряничный домик, 900г",https://online.metro-cc.ru/products/900g-pryanichnyy-domik-lambertz,1369,,WEISS
643634,"Чипсы Lay's Краб, 140г",https://online.metro-cc.ru/products/lays-krab-140g,138,,LAY'S
593738,"Шоколад Milka молочный с цельным миндалем, 85г",https://online.metro-cc.ru/products/shokolad-milka-molochnyj-s-celnym-mindalem-85g,119,98.9,MILKA
508265,"Шоколад Bucheron горький с миндалем, 100г",https://online.metro-cc.ru/products/bucheron-gorkij-s-mindalem-100g,221,,BUCHERON
399009,"Шоколад Milka молочный с соленым крекером Tuc, 87г",https://online.metro-cc.ru/products/milka-molochnyj-s-solenym-krekerom-tuc-87g-554218,149,119,MILKA
